"accelX.g.","accelY.g.","accelZ.g.","accelUserX.g.","accelUserY.g.","accelUserZ.g.","gyroX.rad.s.","gyroY.rad.s.","gyroZ.rad.s.","Roll.rads.","Pitch.rads.","Yaw.rads.","m11","m12","m13","m21","m22","m23","m31","m32","m33","qX","qY","qZ","qW","ActivityType","ActivityConfidence","Pressure.kilopascals.","RelativeAltitude.meters.","magX.µT.","magY.µT.","magZ.µT.","calMagX.µT.","calMagY.µT.","calMagZ.µT."
0.2528,-0.1367,0.8457,-0.0606,-0.0045,-0.1002,0.2577,-0.1436,0.6431,2.8355,0.1226,3.0406,0.9449,-0.1328,-0.2991,-0.1001,-0.9874,0.1223,-0.3115,-0.0856,-0.9464,0.9847,-0.0591,-0.155,0.0528,"Bicleta","Med",100.7013,-0.9882,95.1053,101.7219,-360.6078,35.4172,-6.3538,25.079
0.2155,-0.1132,0.8459,-0.0611,-0.0049,-0.1001,0.2519,-0.2075,0.6289,2.835,0.1222,3.0371,0.9443,-0.136,-0.2996,-0.1035,-0.9871,0.1219,-0.3123,-0.0841,-0.9463,0.9846,-0.0608,-0.1554,0.0523,"Bicleta","Med",100.7013,-0.9882,95.1053,101.7219,-360.6078,35.4172,-6.3538,25.079
0.197,-0.1355,0.8405,-0.1066,-0.0251,-0.1078,0.259,-0.3351,0.6321,2.8316,0.121,3.0268,0.9419,-0.1456,-0.3028,-0.1137,-0.9862,0.1207,-0.3162,-0.0793,-0.9454,0.984,-0.0659,-0.1573,0.0508,"Bicleta","Med",100.7013,-0.9882,95.1053,101.7219,-360.6078,35.4412,-6.8146,25.0894
0.2083,-0.1625,0.8237,-0.1083,-0.0256,-0.1073,0.2901,-0.4798,0.641,2.8298,0.1205,3.0233,0.9408,-0.149,-0.3046,-0.1172,-0.9858,0.1202,-0.3181,-0.0774,-0.9449,0.9838,-0.0676,-0.1582,0.0502,"Bicleta","Med",100.7013,-0.9882,95.1053,101.7219,-360.6078,35.4412,-6.8146,25.0894
0.2404,-0.182,0.7933,-0.0907,-0.0489,-0.129,0.3097,-0.6057,0.6424,2.8252,0.1194,3.0162,0.9383,-0.1556,-0.3089,-0.1241,-0.9851,0.1191,-0.3229,-0.0734,-0.9436,0.9832,-0.0711,-0.1606,0.0489,"Bicleta","Med",100.7013,-0.9882,95.0754,101.0054,-360.8778,35.2828,-7.0379,24.6144
0.2513,-0.1956,0.7789,-0.068,-0.0695,-0.1558,0.3489,-0.7206,0.6276,2.8193,0.118,3.0089,0.9353,-0.1624,-0.3145,-0.1313,-0.9843,0.1177,-0.3287,-0.0688,-0.9419,0.9825,-0.0747,-0.1637,0.0475,"Bicleta","Med",100.7013,-0.9882,95.0754,101.0054,-360.8778,35.2828,-7.0379,24.6144
0.244,-0.2023,0.7854,-0.0705,-0.0832,-0.1592,0.3839,-0.8514,0.5848,2.8122,0.1162,3.0021,0.9318,-0.1687,-0.3213,-0.1381,-0.9836,0.116,-0.3356,-0.0637,-0.9398,0.9817,-0.0781,-0.1673,0.0458,"Bicleta","Med",100.7013,-0.9882,95.0754,101.0054,-360.8778,35.9266,-7.2468,24.3003
0.2307,-0.1982,0.7908,-0.0899,-0.0875,-0.1499,0.4242,-0.9295,0.5368,2.8039,0.114,2.9953,0.928,-0.1748,-0.3291,-0.1448,-0.9829,0.1138,-0.3434,-0.0579,-0.9374,0.9808,-0.0815,-0.1714,0.0438,"Bicleta","Med",100.7013,-0.9882,95.0754,101.0054,-360.8778,35.9266,-7.2468,24.3003
0.23,-0.2026,0.7811,-0.1082,-0.0871,-0.1444,0.4696,-1.0214,0.4859,2.7949,0.1112,2.9891,0.9238,-0.1802,-0.3377,-0.151,-0.9823,0.111,-0.3517,-0.0516,-0.9347,0.9799,-0.0845,-0.1759,0.0415,"Bicleta","Med",100.7013,-0.9882,95.9814,100.8671,-361.7941,36.1647,-7.5405,23.7492
0.2205,-0.2047,0.7587,-0.1181,-0.0971,-0.1578,0.5149,-1.174,0.4149,2.7845,0.1079,2.9829,0.9192,-0.1852,-0.3475,-0.1571,-0.9817,0.1077,-0.3611,-0.0444,-0.9315,0.9788,-0.0874,-0.181,0.0388,"Bicleta","Med",100.7013,-0.9882,95.9814,100.8671,-361.7941,36.1647,-7.5405,23.7492
